,household_key,age_45_plus,income_50K_plus,single_couple_family,has_kids,single,couple,r_score,f_score,m_score,rfm_score,rfm_bins,alcohol,beverages,concessions,dairy,drug,garden,grain_goods,grocery,home_family,junk_food,kitchen,meat,misc,produce,seasonal,total_sales
87,249,0,0,3,1,0,0,5,4,4,13,4,446.74,43.46,19.07,204.07,37.04,9.98,162.81,94.92,288.71,279.13,5.98,400.71,343.21999999999997,155.58,18.939999999999998,2510.3599999999997
88,250,1,1,3,1,0,0,5,4,5,14,4,357.41,336.59000000000003,97.56,717.03,78.26,0.0,449.44,104.59,1069.28,887.33,12.950000000000001,1246.05,325.96,299.41,9.98,5991.839999999999
89,253,1,0,1,0,1,0,5,5,5,15,5,29.62,738.47,73.31,405.2,82.42,18.59,757.3,631.63,515.76,1576.69,0.0,2836.85,614.0,748.79,21.67,9050.300000000001
90,256,0,1,2,0,0,1,5,4,5,14,4,1033.41,129.51,231.1,767.16,351.25,7.68,831.74,175.96,1512.72,1871.9,14.96,763.57,285.78,549.08,19.950000000000003,8545.77
91,257,0,0,3,1,0,0,4,4,3,11,3,68.16,102.93,10.25,234.84,3.78,0.0,285.28,90.25,118.71,208.59,0.0,985.1800000000001,129.8,167.96,1.49,2407.2200000000003
92,263,1,0,2,0,0,1,5,5,5,15,5,171.75,199.44,34.81,764.76,17.95,45.379999999999995,448.04,551.85,248.37,319.26,15.95,1877.17,361.34000000000003,723.58,1.39,5781.04
93,264,1,1,2,0,0,1,4,3,3,10,3,34.24,52.25,47.72,143.73,216.28,0.0,100.74,116.14,218.79,306.85,0.0,242.56,65.63,105.22,0.0,1650.1499999999999
94,276,0,0,1,0,1,0,4,4,5,13,4,160.14,98.98,18.73,199.79,100.47,0.0,234.59,156.79,335.52,849.96,9.99,2049.79,192.92000000000002,422.25,2.99,4832.91
95,281,0,1,1,0,1,0,5,3,2,10,3,0.0,169.49,15.97,256.97,10.26,0.0,117.14,16.39,29.700000000000003,131.83,1.99,151.33,65.16,272.49,1.5,1240.2200000000003
96,282,1,0,1,0,1,0,5,3,4,12,3,356.31,186.59,49.86,268.98,45.35,0.0,251.42000000000002,77.63,347.49,475.38,5.99,656.14,337.95,403.23,2.49,3464.809999999999
97,283,0,1,2,0,0,1,4,3,5,12,3,293.34,278.3,75.37,403.41,161.42000000000002,35.99,432.62,168.87,1777.3,619.17,11.700000000000001,982.34,281.0,467.40000000000003,1.98,5990.209999999999
98,289,1,1,1,0,1,0,4,5,4,13,4,53.94,50.01,173.3,707.13,196.42,11.97,599.1,521.58,545.29,161.02,1.52,115.31,343.29,768.62,10.14,4258.64
99,290,0,0,2,0,0,1,5,5,5,15,5,24.2,187.12,198.11,426.92,108.37,18.94,460.52,117.03,520.97,1735.43,0.0,1164.91,223.61,195.68,0.99,5382.8
100,294,0,1,3,1,0,0,5,5,5,15,5,0.0,346.1,22.439999999999998,756.56,75.60000000000001,0.0,509.68,160.41,350.52,518.73,7.970000000000001,1042.11,240.28,457.03,10.98,4498.41
101,300,1,0,2,0,1,0,4,4,4,12,3,22.39,146.31,46.77,308.32,11.27,3.09,618.13,127.32,226.51,689.05,23.25,1356.33,515.9300000000001,315.82,12.92,4423.41
102,301,0,0,3,1,0,0,5,3,5,13,4,0.0,600.96,58.29,397.95,141.01,2.69,522.51,586.8,692.27,704.09,10.600000000000001,1910.09,283.18,679.69,5.0,6595.130000000001
